"Formate","Acetate","Propionate","Isobutyrate","Butyrate","iVal.2MB","Valerate"
"Otu00006",0,0.182574185835055,0.182574185835055,0.182574185835055,0.182574185835055,-0.182574185835055,0.182574185835055
"Otu00014",0.182574185835055,0.333333333333333,0.333333333333333,0,0.333333333333333,-0.333333333333333,0
"Otu00016",-0.182574185835055,-0.333333333333333,-0.333333333333333,-0.666666666666667,-0.333333333333333,-0.333333333333333,-0.666666666666667
"Otu00018",-0.182574185835055,-0.333333333333333,-0.333333333333333,-0.666666666666667,-0.333333333333333,-0.333333333333333,-0.666666666666667
"Otu00021",-0.912870929175277,-0.666666666666667,-0.666666666666667,-0.333333333333333,-0.666666666666667,-0.666666666666667,-0.333333333333333
"Otu00025",0.912870929175277,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333
"Otu00035",-0.547722557505166,-0.666666666666667,-0.666666666666667,-1,-0.666666666666667,-0.666666666666667,-1
"Otu00036",-0.547722557505166,-0.666666666666667,-0.666666666666667,-0.333333333333333,-0.666666666666667,0,-0.333333333333333
"Otu00037",-0.182574185835055,0,0,0.333333333333333,0,0,0.333333333333333
"Otu00040",-0.547722557505166,-0.666666666666667,-0.666666666666667,-1,-0.666666666666667,-0.666666666666667,-1
"Otu00042",0.182574185835055,0.333333333333333,0.333333333333333,0,0.333333333333333,-0.333333333333333,0
"Otu00046",-0.182574185835055,-0.333333333333333,-0.333333333333333,-0.666666666666667,-0.333333333333333,-0.333333333333333,-0.666666666666667
"Otu00049",-0.182574185835055,-0.333333333333333,-0.333333333333333,0,-0.333333333333333,0.333333333333333,0
"Otu00051",0.547722557505166,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,1,0.666666666666667
"Otu00052",-0.547722557505166,-0.666666666666667,-0.666666666666667,-1,-0.666666666666667,-0.666666666666667,-1
"Otu00056",-0.182574185835055,-0.333333333333333,-0.333333333333333,-0.666666666666667,-0.333333333333333,-0.333333333333333,-0.666666666666667
"Otu00064",-0.547722557505166,-0.333333333333333,-0.333333333333333,-0.666666666666667,-0.333333333333333,-1,-0.666666666666667
"Otu00066",-0.547722557505166,-0.666666666666667,-0.666666666666667,-1,-0.666666666666667,-0.666666666666667,-1
"Otu00067",0.182574185835055,0,0,0.333333333333333,0,0.666666666666667,0.333333333333333
"Otu00069",0.547722557505166,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,1,0.666666666666667
"Otu00074",0.547722557505166,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0,0.333333333333333
"Otu00077",0.182574185835055,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667
"Otu00088",0.182574185835055,0,0,-0.333333333333333,0,0,-0.333333333333333
"Otu00089",0.182574185835055,0,0,-0.333333333333333,0,0,-0.333333333333333
"Otu00097",-0.182574185835055,0,0,0.333333333333333,0,0,0.333333333333333
"Otu00100",-0.182574185835055,0,0,0.333333333333333,0,0,0.333333333333333
"Otu00113",-0.547722557505166,-0.666666666666667,-0.666666666666667,-0.333333333333333,-0.666666666666667,0,-0.333333333333333
"Otu00192",0.547722557505166,0.666666666666667,0.666666666666667,1,0.666666666666667,0.666666666666667,1
"Otu00295",0.258198889747161,0.235702260395516,0.235702260395516,0.707106781186548,0.235702260395516,0.707106781186548,0.707106781186548
